Date,Open,High,Low,Close,Volume
2023-01-02,150.4,150.59,149.53,154.59,4648769
2023-01-03,154.39,156.58,153.32,153.48,5813840
2023-01-04,153.09,153.73,152.76,152.91,2412623
2023-01-05,152.45,153.84,152.02,152.17,2881544
2023-01-06,153.37,153.69,153.28,153.43,4183425
2023-01-09,153.53,155.12,153.01,153.16,4562459
2023-01-10,152.66,155.21,152.64,152.8,6233817
2023-01-11,151.79,152.07,149.11,149.26,5295291
2023-01-12,149.86,150.09,149.7,149.85,2782217
2023-01-13,149.27,149.89,147.85,150.25,2355439
2023-01-16,150.51,151.03,149.6,152.23,6546499
2023-01-17,153.0,154.15,152.57,153.97,6463317
2023-01-18,153.57,153.83,152.04,152.19,6218788
2023-01-19,153.31,153.41,151.92,154.37,4032320
2023-01-20,154.67,156.81,154.62,159.09,1070382
2023-01-23,159.79,159.92,159.36,160.12,2018646
2023-01-24,159.93,160.44,157.8,158.5,3787259
2023-01-25,158.07,159.38,157.61,157.76,5769901
2023-01-26,157.85,159.22,156.85,157.01,4411837
2023-01-27,155.76,156.18,155.4,155.84,4648119
2023-01-30,154.65,155.24,154.17,154.33,4758071
2023-01-31,154.66,157.29,154.42,155.44,4888331
2023-02-01,153.83,153.87,153.75,160.71,4711458
2023-02-02,160.98,161.03,159.28,164.35,6127899
2023-02-03,165.05,166.4,162.97,163.13,5880285
2023-02-06,165.06,166.53,164.22,165.42,4244786
2023-02-07,164.04,164.14,162.47,165.5,3620863
2023-02-08,166.89,168.07,166.41,169.4,3153703
2023-02-09,169.61,171.6,167.15,170.24,5389824
2023-02-10,170.96,172.86,168.93,172.63,5445477
2023-02-13,172.87,173.4,171.81,173.66,5439608
2023-02-14,172.99,175.89,172.25,172.42,5984830
2023-02-15,171.51,172.73,169.73,169.9,6445064
2023-02-16,170.27,171.53,167.37,169.59,3869395
2023-02-17,168.78,170.02,168.66,169.88,5415036
2023-02-20,170.64,170.66,168.41,169.89,9080253
2023-02-21,170.47,171.78,168.83,172.02,4664805
2023-02-22,172.68,173.42,172.57,172.74,2727729
2023-02-23,172.32,173.65,171.99,172.16,5259771
2023-02-24,172.52,173.89,172.28,172.77,3285544
2023-02-27,173.1,173.98,171.42,176.46,2933495
2023-02-28,175.56,176.38,174.75,177.26,10779097
2023-03-01,177.81,179.63,176.28,179.96,4527096
2023-03-02,180.7,181.96,180.32,180.5,5122811
2023-03-03,182.75,185.82,181.62,181.81,4292102
2023-03-06,182.87,182.98,181.1,181.28,6019396
2023-03-07,180.57,180.92,180.49,180.67,8215916
2023-03-08,181.29,184.6,180.99,181.17,6278650
2023-03-09,180.39,180.58,179.57,183.28,3199555
2023-03-10,182.95,183.73,181.87,188.83,5607472
2023-03-13,187.55,189.1,183.96,191.11,2720945
2023-03-14,190.61,192.78,189.39,192.21,6161951
2023-03-15,191.24,191.35,185.67,187.79,4621147
2023-03-16,186.53,189.27,184.13,185.13,5196110
2023-03-17,186.57,188.98,184.61,186.68,3527737
2023-03-20,187.14,187.48,186.13,187.45,4422029
2023-03-21,187.57,188.68,184.89,185.07,8199550
2023-03-22,183.12,183.37,182.15,184.12,4065950
2023-03-23,183.92,184.73,182.94,186.8,5535523
2023-03-24,186.1,187.61,185.59,188.9,5944443
2023-03-27,188.06,189.0,186.79,190.2,4968647
2023-03-28,190.32,192.51,189.3,192.27,4696711
2023-03-29,192.04,193.94,190.61,194.93,6958218
2023-03-30,194.95,196.15,194.41,196.17,4804785
2023-03-31,196.27,197.32,194.83,203.74,3490973
2023-04-03,202.41,204.52,200.96,204.76,5942518
2023-04-04,204.75,206.4,204.61,204.81,6462679
2023-04-05,204.65,206.17,204.06,206.25,4154413
2023-04-06,205.34,205.79,204.88,205.09,4293442
2023-04-07,205.35,208.02,202.74,202.95,4679829
2023-04-10,203.29,205.99,201.72,202.78,4971475
2023-04-11,201.69,201.72,201.16,202.94,3759153
2023-04-12,203.51,206.31,203.31,205.06,6035215
2023-04-13,204.62,205.03,204.59,205.06,3840485
2023-04-14,205.08,206.0,202.41,208.71,8229773
2023-04-17,207.84,209.47,207.5,216.12,3787552
2023-04-18,215.14,216.3,211.03,213.19,3861301
2023-04-19,213.36,214.02,209.76,217.1,4134644
2023-04-20,216.04,217.0,213.48,223.25,6769160
2023-04-21,222.69,226.12,219.97,222.32,6856724
2023-04-24,220.4,221.59,220.39,220.68,4324901
2023-04-25,221.42,223.55,221.14,221.99,5771658
2023-04-26,222.84,225.1,219.76,228.05,5498471
2023-04-27,227.13,230.3,226.9,232.05,5101277
2023-04-28,234.63,238.33,234.1,238.82,5968063
2023-05-01,240.59,242.68,239.1,245.27,2361890
2023-05-02,243.7,248.18,243.11,246.95,7253535
2023-05-03,247.05,250.67,243.98,244.22,4916678
2023-05-04,244.73,244.8,240.17,244.43,3043295
2023-05-05,245.32,246.13,243.24,243.49,3411179
2023-05-08,243.4,245.5,241.24,245.71,4204613
2023-05-09,244.66,244.89,242.38,242.62,3203183
2023-05-10,245.19,245.27,243.65,246.24,4831507
2023-05-11,245.94,247.3,244.27,244.51,4136272
2023-05-12,244.15,249.2,240.82,250.25,7467451
2023-05-15,249.91,251.21,249.21,263.87,6679362
2023-05-16,263.68,265.95,259.87,264.75,3865473
2023-05-17,262.72,264.25,260.16,270.8,6322459
2023-05-18,270.79,274.4,270.6,270.87,7284686
2023-05-19,271.66,274.2,271.2,271.47,2925800
2023-05-22,272.83,277.51,269.39,275.7,4024036
2023-05-23,274.97,276.44,272.84,275.33,3753574
2023-05-24,275.73,275.85,275.13,275.41,4134843
2023-05-25,276.53,277.78,274.1,277.14,6127080
2023-05-26,274.64,275.98,273.0,277.57,3855111
2023-05-29,274.86,278.89,274.75,276.26,3643525
2023-05-30,277.21,281.36,277.05,277.32,4022245
2023-05-31,277.4,279.54,276.44,282.53,4134662
2023-06-01,283.81,286.69,282.45,291.28,1292533
2023-06-02,290.03,291.54,289.5,292.08,4094022
2023-06-05,292.22,292.63,289.15,293.68,5506403
2023-06-06,293.02,294.31,291.88,295.22,4368523
2023-06-07,295.68,301.21,293.36,294.07,6801820
2023-06-08,293.42,298.8,290.76,291.05,4472729
2023-06-09,291.07,295.47,290.22,290.51,6244108
2023-06-12,287.04,287.65,285.05,285.33,6715631
2023-06-13,285.86,286.92,284.23,297.65,5272799
2023-06-14,298.05,299.28,295.77,302.63,3715874
2023-06-15,302.74,304.04,301.44,304.68,6556309
2023-06-16,303.84,304.58,301.17,301.53,5565950
2023-06-19,302.77,305.28,300.4,310.28,5620152
2023-06-20,313.42,315.6,309.91,310.22,7244066
2023-06-21,311.32,311.47,310.53,310.84,8668627
2023-06-22,311.06,311.37,309.03,313.88,5335826
2023-06-23,312.54,313.86,307.24,320.23,7389779
2023-06-26,319.35,322.19,318.99,319.79,6641287
2023-06-27,316.87,321.23,316.42,316.74,3481843
2023-06-28,313.91,316.23,313.7,314.01,3057381
2023-06-29,313.44,318.15,312.71,313.03,4631385
2023-06-30,312.56,320.15,312.41,312.72,6044309
2023-07-03,315.85,319.05,315.08,315.4,8860039
2023-07-04,315.5,315.54,315.43,316.75,4783459
2023-07-05,315.77,317.32,315.67,315.99,3930731
2023-07-06,316.17,316.9,311.89,312.2,6637260
2023-07-07,314.3,320.17,313.34,313.65,2888732
2023-07-10,312.33,315.45,307.41,317.72,6907332
2023-07-11,318.95,322.2,317.45,321.89,3166808
2023-07-12,323.13,323.83,322.04,327.4,5666394
2023-07-13,326.76,330.17,323.58,330.51,5889651
2023-07-14,329.96,330.93,326.24,335.58,4722646
2023-07-17,334.63,337.79,332.51,332.84,2665056
2023-07-18,333.93,337.78,328.66,328.99,7544684
2023-07-19,329.36,329.65,327.75,331.86,4943547
2023-07-20,333.84,334.18,333.39,333.72,4914581
2023-07-21,334.27,339.42,330.22,338.88,5256298
2023-07-24,338.54,338.6,337.48,337.82,3832542
2023-07-25,338.18,341.16,336.94,337.27,6543733
2023-07-26,338.13,338.91,335.14,348.41,6521555
2023-07-27,344.94,348.91,343.0,345.24,5776488
2023-07-28,343.89,344.47,341.55,341.89,2890008
2023-07-31,340.19,344.33,337.2,346.78,3575901
2023-08-01,351.71,353.27,351.12,351.47,6050464
2023-08-02,350.38,350.76,342.31,349.91,6723909
2023-08-03,348.58,348.69,343.03,344.79,7718672
2023-08-04,346.11,347.86,344.14,352.31,5932714
2023-08-07,349.32,351.6,348.54,348.99,5931008
2023-08-08,349.32,353.52,348.13,353.3,5839685
2023-08-09,355.37,358.03,353.9,355.06,2508558
2023-08-10,355.88,356.55,355.01,355.37,3378415
2023-08-11,357.39,357.52,355.2,357.71,5044634
2023-08-14,359.53,361.2,359.22,359.57,4348255
2023-08-15,358.97,359.69,357.43,367.23,3658089
2023-08-16,366.86,368.31,362.08,368.31,6547766
2023-08-17,365.35,366.23,362.43,366.04,6598220
2023-08-18,365.02,369.65,357.46,362.78,4331746
2023-08-21,365.63,370.82,363.9,364.27,4577323
2023-08-22,361.62,364.61,358.36,358.71,4947972
2023-08-23,359.17,364.18,355.94,365.68,4679016
2023-08-24,365.58,367.8,361.88,368.24,5249678
2023-08-25,369.22,370.18,361.06,365.13,4203504
2023-08-28,363.9,365.72,361.81,371.83,7130756
2023-08-29,370.69,373.46,369.12,369.48,5949397
2023-08-30,369.89,374.94,364.74,381.99,4080816
2023-08-31,381.19,382.18,380.05,385.87,8015306
2023-09-01,385.5,388.27,380.71,381.09,4950309
2023-09-04,384.79,386.58,384.01,384.83,6782589
2023-09-05,390.08,391.94,388.36,397.56,6022837
2023-09-06,401.53,403.64,400.23,405.96,6663055
2023-09-07,407.76,409.62,403.84,416.5,7073238
2023-09-08,417.96,418.59,417.41,427.21,3774596
2023-09-11,428.06,429.57,427.94,438.08,5286648
2023-09-12,438.19,443.55,435.24,443.45,8244882
2023-09-13,442.72,443.59,441.72,455.46,4857056
2023-09-14,456.15,458.65,455.38,455.84,5291134
2023-09-15,458.48,462.72,457.93,458.39,6792569
2023-09-18,454.62,456.91,453.08,467.61,4901374
2023-09-19,466.21,474.11,460.14,460.6,5660021
2023-09-20,459.35,463.57,456.42,461.55,4153882
2023-09-21,458.36,461.96,455.67,457.72,7769955
2023-09-22,455.08,461.32,452.24,454.89,5365009
2023-09-25,454.29,455.73,449.18,466.28,4876773
2023-09-26,469.09,470.54,467.17,474.09,5671562
2023-09-27,475.74,481.43,474.9,482.0,4865396
2023-09-28,485.75,488.7,477.87,485.59,2853837
2023-09-29,485.93,488.91,482.25,482.73,4330724
2023-10-02,477.81,479.75,467.38,467.85,6140621
2023-10-03,469.84,471.64,465.75,469.62,4994596
2023-10-04,466.68,473.0,463.0,465.01,5040328
2023-10-05,465.54,474.09,464.5,464.97,3497569
2023-10-06,464.26,471.77,461.58,462.04,5858874
2023-10-09,465.54,469.41,465.29,465.75,6047334
2023-10-10,466.74,470.5,464.07,475.74,4197147
2023-10-11,479.13,479.98,470.18,473.38,7603945
2023-10-12,473.88,476.66,471.82,472.29,5636248
2023-10-13,473.62,476.07,473.52,492.08,7591314
2023-10-16,493.24,493.41,492.7,498.88,3465811
2023-10-17,498.19,505.67,496.4,504.19,4275220
