Date,Open,High,Low,Close,Volume
2023-01-02,2807.42,2838.04,2767.81,2802.73,5028274
2023-01-03,2814.64,2821.21,2787.81,2831.65,4081343
2023-01-04,2837.79,2870.25,2834.71,2837.54,4687824
2023-01-05,2835.36,2888.71,2819.8,2841.47,5239784
2023-01-06,2823.95,2859.69,2799.49,2879.55,5640791
2023-01-09,2868.39,2919.31,2834.15,2921.98,6500873
2023-01-10,2910.22,2950.74,2902.94,2927.9,5390482
2023-01-11,2925.54,2949.26,2902.32,2905.23,6956510
2023-01-12,2876.25,2905.94,2843.84,2846.68,4383778
2023-01-13,2827.8,2833.87,2819.09,2872.74,6965463
2023-01-16,2896.8,2913.08,2890.74,2893.63,3791194
2023-01-17,2910.38,2957.4,2874.45,2877.33,4960391
2023-01-18,2882.17,2905.5,2869.94,2872.81,4978321
2023-01-19,2882.23,2882.41,2869.65,2876.78,4867455
2023-01-20,2870.39,2877.82,2824.5,2903.45,4556779
2023-01-23,2915.59,2925.33,2881.39,2938.02,4839046
2023-01-24,2945.91,2992.19,2912.72,2915.63,5214414
2023-01-25,2945.94,3011.67,2927.14,2976.33,2298413
2023-01-26,2966.64,2990.01,2948.23,2957.56,4291864
2023-01-27,2922.43,2944.29,2891.08,2937.29,8111124
2023-01-30,2921.09,2995.0,2912.74,2986.29,7937521
2023-01-31,2964.26,2978.98,2950.46,2958.86,8966515
2023-02-01,2932.18,2939.62,2918.47,2996.74,5146974
2023-02-02,3002.28,3014.03,2994.2,2997.19,5932357
2023-02-03,2990.54,3001.82,2989.67,3058.79,4922909
2023-02-06,3026.25,3064.44,2998.84,3001.84,4106508
2023-02-07,3026.59,3091.23,2931.63,3091.43,5334858
2023-02-08,3090.41,3099.23,3074.3,3131.22,5833406
2023-02-09,3132.9,3139.08,3128.16,3131.29,6700655
2023-02-10,3142.44,3234.84,3121.83,3155.62,4971936
2023-02-13,3148.26,3183.65,3118.43,3121.55,5610578
2023-02-14,3103.35,3146.17,3083.9,3157.81,6429687
2023-02-15,3167.53,3190.5,3151.18,3154.33,5647883
2023-02-16,3169.48,3193.39,3131.8,3215.33,5527172
2023-02-17,3235.98,3236.84,3207.44,3226.39,3882646
2023-02-20,3213.32,3217.97,3187.86,3194.5,2159577
2023-02-21,3198.58,3198.62,3172.45,3241.72,6406355
2023-02-22,3210.45,3234.94,3185.76,3188.94,6244212
2023-02-23,3185.23,3193.66,3121.41,3226.67,3141112
2023-02-24,3227.83,3236.78,3183.91,3187.09,470731
2023-02-27,3190.61,3248.06,3151.08,3204.95,4262545
2023-02-28,3220.47,3251.82,3205.12,3253.99,6590314
2023-03-01,3307.87,3320.85,3291.03,3307.17,2346386
2023-03-02,3293.38,3306.86,3276.12,3304.41,3766370
2023-03-03,3326.63,3326.64,3326.32,3329.65,5232786
2023-03-06,3346.13,3375.15,3324.11,3327.44,2981193
2023-03-07,3311.08,3326.85,3282.13,3329.46,5290384
2023-03-08,3346.46,3351.06,3333.39,3340.55,5398043
2023-03-09,3328.87,3410.06,3324.4,3424.6,6389323
2023-03-10,3444.43,3487.01,3441.38,3459.06,4073522
2023-03-13,3452.5,3473.76,3410.93,3443.91,4324716
2023-03-14,3443.92,3464.62,3394.19,3397.59,4174194
2023-03-15,3372.7,3389.84,3367.72,3371.08,7178701
2023-03-16,3377.69,3387.84,3356.68,3360.03,6558667
2023-03-17,3358.51,3381.02,3322.51,3325.83,6226834
2023-03-20,3333.34,3363.41,3304.35,3409.37,3215882
2023-03-21,3442.97,3473.98,3420.99,3424.41,5904781
2023-03-22,3413.23,3418.79,3411.84,3415.25,6111236
2023-03-23,3404.73,3412.52,3370.88,3374.25,4713458
2023-03-24,3423.09,3449.95,3422.43,3425.86,5033698
2023-03-27,3437.1,3477.69,3398.8,3487.31,6077278
2023-03-28,3496.49,3497.17,3472.96,3538.92,4468938
2023-03-29,3526.74,3530.33,3472.11,3475.58,2798712
2023-03-30,3479.02,3480.79,3472.99,3497.04,4665196
2023-03-31,3528.3,3584.78,3499.07,3522.07,2535216
2023-04-03,3518.35,3576.81,3517.62,3535.64,3109752
2023-04-04,3522.57,3535.78,3511.38,3613.92,5836536
2023-04-05,3589.82,3598.67,3571.93,3672.75,7370811
2023-04-06,3650.38,3679.98,3604.48,3634.39,5699537
2023-04-07,3655.92,3658.7,3644.23,3668.12,3747285
2023-04-10,3714.1,3773.81,3707.24,3865.54,5010199
2023-04-11,3861.13,3874.93,3854.16,3968.3,1682207
2023-04-12,4004.81,4061.84,3994.13,3998.13,5882829
2023-04-13,3959.79,3978.09,3879.63,3883.51,5284559
2023-04-14,3868.09,3884.56,3867.35,3871.21,5731808
2023-04-17,3913.12,3920.59,3884.96,3888.84,3565345
2023-04-18,3899.87,3957.75,3886.0,3889.88,4998937
2023-04-19,3860.7,3884.04,3826.64,3830.46,4294936
2023-04-20,3836.57,3853.33,3834.04,3998.84,4629461
2023-04-21,3990.24,4016.08,3960.55,3976.98,4025940
2023-04-24,4008.51,4065.41,3984.44,3988.42,6511270
2023-04-25,3972.04,4003.44,3893.78,4044.14,3183242
2023-04-26,4061.87,4062.45,4023.12,4030.02,6029477
2023-04-27,4032.58,4056.15,3952.88,3956.83,7425818
2023-04-28,3959.31,3994.9,3906.64,3945.52,6382475
2023-05-01,3942.5,4002.08,3885.29,3942.73,3121409
2023-05-02,3951.34,3986.38,3934.71,3938.64,5298422
2023-05-03,3948.97,3964.93,3900.17,3904.07,6020324
2023-05-04,3932.0,4001.93,3919.43,3923.35,4877715
2023-05-05,3931.53,3950.69,3904.97,3935.4,3369131
2023-05-08,3909.76,3936.32,3864.85,3963.04,5693886
2023-05-09,3922.0,3948.57,3875.17,3879.04,4303393
2023-05-10,3889.8,3920.27,3880.01,3883.89,7133554
2023-05-11,3924.41,3962.83,3921.06,3924.99,3754333
2023-05-12,3937.29,3953.76,3882.11,3989.69,2745379
2023-05-15,4014.87,4054.95,3999.46,4036.17,7993501
2023-05-16,4111.48,4136.43,4103.95,4156.67,6331483
2023-05-17,4148.67,4223.15,4139.13,4191.21,5998886
2023-05-18,4201.82,4237.07,4175.88,4180.06,3349768
2023-05-19,4191.08,4223.72,4171.89,4332.69,4991605
2023-05-22,4350.08,4397.57,4333.24,4411.9,6273653
