Date,Open,High,Low,Close,Volume
2023-01-02,1612.57,1614.93,1612.31,1613.93,6648475
2023-01-03,1629.11,1634.98,1628.03,1630.56,1423539
2023-01-04,1636.39,1638.15,1630.78,1632.41,4423314
2023-01-05,1629.19,1642.51,1624.26,1683.97,5646293
2023-01-06,1673.66,1675.38,1664.93,1666.6,7399206
2023-01-09,1672.22,1679.36,1670.01,1671.68,4274574
2023-01-10,1678.43,1692.55,1644.44,1672.84,4787363
2023-01-11,1673.93,1683.68,1665.39,1681.36,6793297
2023-01-12,1669.1,1675.84,1660.74,1662.4,2745694
2023-01-13,1656.44,1665.21,1646.46,1648.11,3715477
2023-01-16,1643.27,1657.97,1643.1,1644.74,4834991
2023-01-17,1654.94,1664.86,1637.52,1661.01,4759370
2023-01-18,1680.95,1695.15,1676.19,1677.87,6428692
2023-01-19,1691.47,1714.07,1674.91,1686.63,4452138
2023-01-20,1673.1,1700.35,1666.83,1668.49,6992085
2023-01-23,1660.7,1666.1,1658.41,1678.17,4904639
2023-01-24,1666.48,1667.49,1652.5,1666.2,6162672
2023-01-25,1657.84,1658.19,1649.56,1678.15,5047237
2023-01-26,1683.71,1698.36,1674.4,1691.58,3502681
2023-01-27,1691.55,1698.77,1686.9,1688.58,3530111
2023-01-30,1672.72,1681.66,1670.13,1671.8,5023523
2023-01-31,1687.05,1700.86,1664.87,1698.11,6751264
2023-02-01,1692.21,1700.94,1655.13,1724.84,7310485
2023-02-02,1720.26,1723.75,1709.88,1731.3,6687398
2023-02-03,1716.82,1722.44,1713.02,1720.45,5688491
2023-02-06,1718.9,1720.32,1715.96,1746.1,5628139
2023-02-07,1747.95,1765.72,1742.65,1773.61,5056544
2023-02-08,1779.22,1804.36,1764.44,1782.41,4233516
2023-02-09,1760.56,1762.93,1755.97,1772.08,4769142
2023-02-10,1769.36,1794.54,1756.05,1783.38,7573861
2023-02-13,1782.55,1787.22,1768.96,1770.73,5550221
2023-02-14,1764.44,1776.65,1762.3,1773.4,3826102
2023-02-15,1779.41,1809.09,1765.07,1770.27,5347411
2023-02-16,1776.96,1784.91,1736.68,1816.13,6140759
2023-02-17,1800.94,1809.69,1778.35,1843.2,6407960
2023-02-20,1841.64,1842.86,1839.71,1875.44,3686236
2023-02-21,1868.18,1883.28,1867.52,1909.95,3992731
2023-02-22,1909.45,1923.54,1909.33,1911.24,4268549
2023-02-23,1898.07,1908.6,1887.18,1889.07,7000828
2023-02-24,1911.72,1912.42,1901.91,1998.68,3021547
2023-02-27,1998.87,2001.75,1977.36,2010.98,4252049
2023-02-28,2001.8,2007.27,1985.67,2003.93,4153705
2023-03-01,1989.56,2009.54,1981.64,1983.62,4747611
2023-03-02,1984.27,2011.99,1979.0,1980.98,7566543
2023-03-03,1985.97,1992.32,1974.13,1983.23,5919186
2023-03-06,1982.98,1986.43,1982.06,1984.04,4485191
2023-03-07,1964.18,1979.48,1959.48,1961.44,7848102
2023-03-08,1962.26,1978.52,1948.81,1975.35,5591869
2023-03-09,1971.31,1978.41,1967.18,1989.43,2142583
2023-03-10,1985.29,2012.64,1973.11,1975.08,4328057
2023-03-13,1963.56,1998.25,1959.94,1968.42,4921242
2023-03-14,1967.05,1967.73,1950.96,1961.65,4138876
2023-03-15,1959.0,1968.08,1936.87,1939.9,5148400
2023-03-16,1943.05,1958.48,1942.73,1944.68,2346424
2023-03-17,1948.1,1954.08,1944.95,1948.13,3535399
2023-03-20,1947.7,1966.92,1926.03,1927.96,4706322
2023-03-21,1918.31,1927.07,1913.23,1915.14,6279802
2023-03-22,1915.41,1923.33,1900.37,1902.27,5160811
2023-03-23,1899.36,1908.88,1898.15,1906.16,2564926
2023-03-24,1923.44,1925.97,1912.71,1914.62,5462014
2023-03-27,1902.65,1909.53,1897.23,1904.11,6046961
2023-03-28,1892.84,1903.21,1885.92,1956.95,4792876
2023-03-29,1962.51,1964.19,1932.01,1933.95,5141931
2023-03-30,1918.86,1957.33,1914.29,1923.71,4572744
2023-03-31,1922.73,1970.39,1918.76,1939.0,4025952
2023-04-03,1941.75,1945.45,1935.37,1998.84,6765777
2023-04-04,2000.16,2037.03,1994.38,2087.26,4654007
2023-04-05,2098.31,2122.52,2094.64,2096.73,1347031
2023-04-06,2103.62,2117.33,2100.65,2102.75,4602143
2023-04-07,2103.09,2107.61,2084.34,2144.0,4104657
2023-04-10,2126.77,2128.62,2126.18,2132.87,7043198
2023-04-11,2130.45,2132.49,2111.65,2159.06,5276463
2023-04-12,2154.71,2187.54,2129.81,2131.94,4113082
2023-04-13,2135.6,2156.05,2110.09,2112.2,6081495
2023-04-14,2106.67,2156.01,2089.91,2092.0,4151910
2023-04-17,2094.44,2102.32,2084.18,2086.27,2927612
2023-04-18,2068.26,2105.05,2059.69,2061.75,4052844
2023-04-19,2074.05,2094.43,2068.5,2070.57,4149942
2023-04-20,2064.61,2075.46,2053.08,2055.13,4420187
2023-04-21,2048.87,2052.28,2042.96,2045.0,6906597
2023-04-24,2035.38,2061.72,2029.18,2031.21,5481937
2023-04-25,2007.77,2030.14,1996.98,1998.97,2781834
2023-04-26,2015.02,2026.91,2001.57,2003.57,4473832
2023-04-27,2001.38,2012.84,1978.98,1980.96,5676443
2023-04-28,1990.53,2015.55,1973.31,1992.33,6637708
2023-05-01,1991.66,2031.84,1989.23,2026.04,3659380
2023-05-02,2022.26,2025.11,1975.35,2076.95,3647936
2023-05-03,2081.99,2083.43,2061.04,2096.14,4647613
2023-05-04,2087.15,2100.47,2055.87,2109.35,3351432
2023-05-05,2122.03,2124.76,2111.09,2125.45,2371434
2023-05-08,2116.66,2128.05,2113.84,2157.3,5604911
2023-05-09,2147.29,2160.96,2145.52,2147.66,7510162
2023-05-10,2152.22,2173.34,2125.0,2195.72,8347248
2023-05-11,2181.8,2195.26,2181.78,2183.96,5739325
2023-05-12,2192.7,2203.24,2172.25,2174.42,2757865
2023-05-15,2175.85,2176.29,2163.37,2204.68,5796341
2023-05-16,2213.76,2215.94,2203.09,2205.3,8080728
2023-05-17,2196.69,2233.69,2196.08,2198.28,7052119
2023-05-18,2199.61,2214.58,2178.07,2212.16,4111638
2023-05-19,2222.52,2222.53,2210.33,2212.54,5670472
2023-05-22,2205.75,2234.93,2194.76,2214.88,5729464
2023-05-23,2204.27,2232.89,2169.15,2218.78,7385605
2023-05-24,2212.72,2226.83,2212.0,2228.79,4409019
2023-05-25,2234.54,2240.02,2216.69,2253.76,6295292
2023-05-26,2255.61,2276.41,2233.64,2273.18,3244578
2023-05-29,2261.02,2272.43,2243.98,2246.22,4678774
2023-05-30,2255.25,2261.04,2226.64,2297.07,3744364
2023-05-31,2296.42,2304.62,2292.75,2337.31,5718504
2023-06-01,2327.65,2368.21,2324.03,2326.35,6445888
2023-06-02,2329.14,2336.58,2282.7,2319.58,4523358
2023-06-05,2320.88,2340.78,2292.91,2295.2,4119327
2023-06-06,2277.2,2284.94,2268.05,2270.32,2859760
2023-06-07,2271.07,2286.74,2240.28,2301.56,6225959
2023-06-08,2312.1,2334.64,2271.37,2299.62,5164357
2023-06-09,2295.02,2295.06,2266.88,2269.14,3708425
2023-06-12,2284.14,2302.78,2277.51,2316.05,5511823
2023-06-13,2332.73,2334.12,2313.59,2432.04,5897148
2023-06-14,2432.62,2446.68,2425.51,2526.29,5270106
2023-06-15,2522.98,2539.85,2500.84,2558.75,4253968
2023-06-16,2565.83,2596.79,2562.03,2585.18,7560994
2023-06-19,2575.62,2601.96,2557.17,2559.73,7004986
2023-06-20,2578.75,2585.36,2553.56,2585.05,4857332
