Date,Open,High,Low,Close,Volume
2023-01-02,2400.79,2412.44,2384.17,2425.03,6491621
2023-01-03,2440.13,2481.89,2435.06,2452.47,2715241
2023-01-04,2445.82,2449.83,2423.98,2426.41,6194510
2023-01-05,2426.39,2430.04,2421.25,2423.68,4356444
2023-01-06,2402.6,2407.67,2392.8,2395.19,5625309
2023-01-09,2403.24,2407.98,2382.91,2427.72,4557415
2023-01-10,2421.98,2428.42,2410.17,2480.51,6786759
2023-01-11,2473.66,2475.8,2459.55,2519.56,6408454
2023-01-12,2518.74,2545.59,2497.35,2531.42,5513338
2023-01-13,2517.24,2518.19,2503.73,2506.23,6657495
2023-01-16,2501.41,2528.15,2490.07,2492.56,4312794
2023-01-17,2491.35,2499.57,2486.77,2506.49,4743230
2023-01-18,2505.64,2542.04,2497.3,2502.84,7415439
2023-01-19,2490.85,2529.14,2477.77,2506.52,3487350
2023-01-20,2486.97,2519.47,2457.07,2459.53,4312665
2023-01-23,2480.4,2490.44,2470.06,2472.53,3318654
2023-01-24,2451.03,2472.96,2412.64,2462.32,6329869
2023-01-25,2444.09,2463.29,2418.89,2467.21,4074071
2023-01-26,2482.34,2507.8,2476.66,2479.14,4379826
2023-01-27,2482.76,2486.74,2462.95,2465.41,2758604
2023-01-30,2467.68,2477.99,2454.53,2456.98,5029318
2023-01-31,2456.32,2469.97,2454.88,2457.34,6765500
2023-02-01,2440.89,2452.02,2406.22,2408.63,3181014
2023-02-02,2418.23,2419.58,2417.95,2420.37,4550459
2023-02-03,2410.95,2418.8,2390.64,2466.41,2486629
2023-02-06,2456.27,2491.29,2447.18,2449.63,5328607
2023-02-07,2443.69,2461.05,2420.93,2559.68,4622672
2023-02-08,2534.54,2566.72,2521.37,2523.9,3600321
2023-02-09,2532.56,2537.88,2491.1,2610.52,4349014
2023-02-10,2630.44,2659.02,2608.05,2677.69,4022836
2023-02-13,2652.2,2661.77,2643.23,2645.88,4539427
2023-02-14,2661.31,2663.72,2642.23,2694.13,5296513
2023-02-15,2659.49,2669.17,2650.63,2661.46,6337550
2023-02-16,2652.33,2659.92,2617.01,2671.75,7929589
2023-02-17,2658.19,2675.36,2642.15,2665.13,3405445
2023-02-20,2670.86,2690.08,2658.73,2661.39,6492751
2023-02-21,2674.11,2692.98,2665.63,2685.19,6548584
2023-02-22,2711.53,2733.5,2686.68,2708.64,4805490
2023-02-23,2687.41,2693.92,2664.63,2667.3,3352720
2023-02-24,2661.19,2670.38,2659.0,2661.66,2831722
2023-02-27,2666.57,2684.65,2642.22,2677.85,5910143
2023-02-28,2697.12,2704.22,2683.95,2738.17,5764270
2023-03-01,2735.55,2767.9,2730.62,2738.17,5031833
2023-03-02,2725.12,2726.91,2692.76,2746.82,5046595
2023-03-03,2744.56,2752.27,2727.06,2774.08,4502202
2023-03-06,2778.67,2790.01,2754.89,2787.73,1758044
2023-03-07,2794.59,2810.28,2776.84,2779.61,5463570
2023-03-08,2799.8,2833.44,2799.1,2807.55,6666366
2023-03-09,2786.06,2793.71,2754.43,2833.36,5553895
2023-03-10,2811.6,2812.8,2797.5,2828.55,3785979
2023-03-13,2813.75,2863.14,2784.53,2795.76,5235718
2023-03-14,2795.72,2821.09,2765.8,2768.57,3915247
2023-03-15,2773.75,2792.51,2732.57,2823.29,6212539
2023-03-16,2821.57,2857.89,2816.34,2821.2,5254961
2023-03-17,2831.29,2846.62,2819.86,2822.68,5959854
2023-03-20,2832.98,2842.45,2794.76,2824.13,5935288
2023-03-21,2850.13,2879.15,2839.79,2842.63,7033708
2023-03-22,2842.13,2864.05,2828.63,2831.46,3163419
2023-03-23,2818.57,2860.11,2809.36,2824.86,4625159
2023-03-24,2829.07,2835.81,2822.04,2835.72,6303197
2023-03-27,2836.06,2859.63,2821.29,2824.11,8040225
2023-03-28,2836.54,2856.55,2829.74,2832.57,7313820
2023-03-29,2812.06,2814.8,2809.47,2852.71,4843986
2023-03-30,2827.13,2833.17,2803.77,2832.09,7151265
2023-03-31,2806.97,2826.06,2793.78,2796.57,6110188
2023-04-03,2794.1,2803.97,2779.24,2806.14,6166696
2023-04-04,2795.66,2814.22,2794.41,2846.46,4697870
2023-04-05,2852.0,2852.98,2849.66,2865.69,5805211
2023-04-06,2847.43,2882.13,2802.42,2815.42,4858596
2023-04-07,2821.34,2859.14,2776.78,2798.12,1809749
2023-04-10,2798.57,2805.03,2760.73,2805.43,6566037
2023-04-11,2813.78,2824.19,2780.08,2828.06,2761846
2023-04-12,2846.74,2850.66,2817.82,2824.64,5403276
2023-04-13,2827.66,2828.74,2817.26,2847.65,3610755
2023-04-14,2830.09,2859.99,2812.6,2834.39,7497713
2023-04-17,2830.52,2862.34,2826.3,2829.12,7772060
2023-04-18,2843.42,2846.34,2825.84,2828.67,6243723
2023-04-19,2794.17,2818.39,2770.92,2783.43,5311313
2023-04-20,2764.31,2807.73,2736.34,2755.99,4392956
2023-04-21,2770.46,2817.15,2748.0,2873.86,3616473
2023-04-24,2861.85,2890.77,2851.1,2871.53,4772073
2023-04-25,2883.39,2913.59,2845.99,2855.28,6230215
2023-04-26,2848.47,2867.79,2823.81,2826.63,4547630
2023-04-27,2831.37,2845.18,2812.52,2815.33,7112929
2023-04-28,2813.53,2829.58,2795.68,2798.48,1919770
2023-05-01,2803.63,2805.35,2790.38,2793.95,4354358
2023-05-02,2822.57,2857.9,2804.96,2807.77,4496332
2023-05-03,2803.23,2822.37,2789.62,2870.62,5705020
2023-05-04,2872.13,2896.22,2859.52,2978.57,4428958
2023-05-05,2972.86,2987.04,2960.49,2963.45,5607553
2023-05-08,2950.67,2991.06,2931.78,2934.71,4491996
2023-05-09,2956.66,2992.08,2918.14,2971.38,6724231
2023-05-10,2947.52,2957.74,2932.97,2935.9,6197752
2023-05-11,2949.02,2956.84,2917.63,3007.18,5154676
2023-05-12,3000.26,3025.06,2999.3,3030.52,4513734
2023-05-15,2996.55,3028.87,2991.71,2994.7,6285737
2023-05-16,3017.98,3089.86,3006.84,3009.85,5748665
2023-05-17,3011.81,3028.09,2999.03,3002.03,4324447
2023-05-18,3008.26,3034.23,2978.3,3061.99,4028191
2023-05-19,3067.65,3080.94,3062.9,3115.39,3159478
2023-05-22,3104.59,3109.47,3041.21,3060.27,8060200
2023-05-23,3091.55,3094.11,3083.72,3086.8,4897696
2023-05-24,3064.66,3066.64,3025.66,3034.05,4638913
2023-05-25,3007.72,3017.29,3000.96,3012.18,4674759
2023-05-26,3007.69,3020.52,3006.95,3024.99,5322474
2023-05-29,3042.33,3059.83,3037.34,3122.07,5630402
2023-05-30,3142.85,3159.07,3093.65,3213.82,5202764
2023-05-31,3212.97,3220.66,3203.55,3226.66,4112185
2023-06-01,3247.63,3250.76,3237.07,3240.3,5403163
2023-06-02,3243.4,3254.1,3215.08,3218.29,5938386
2023-06-05,3242.66,3270.95,3198.85,3259.61,4989405
2023-06-06,3253.0,3291.28,3225.69,3228.91,3830289
2023-06-07,3245.25,3297.19,3203.22,3245.54,5439926
2023-06-08,3253.57,3261.91,3183.59,3242.26,4653820
2023-06-09,3229.09,3232.49,3212.21,3296.45,2766073
2023-06-12,3292.31,3304.81,3275.88,3294.0,5813635
2023-06-13,3280.41,3323.84,3252.73,3255.98,3387345
2023-06-14,3238.6,3257.26,3203.23,3221.67,5682056
2023-06-15,3220.58,3227.67,3191.4,3254.44,4080182
2023-06-16,3249.05,3255.61,3246.2,3251.67,3874059
2023-06-19,3246.7,3246.76,3208.76,3222.47,5581519
2023-06-20,3201.48,3232.95,3166.93,3170.1,7036429
