Date,Open,High,Low,Close,Volume
2023-01-02,3390.56,3402.78,3379.72,3407.67,5684374
2023-01-03,3364.09,3388.15,3330.27,3333.6,3541552
2023-01-04,3327.29,3344.9,3322.08,3325.4,3323108
2023-01-05,3346.9,3368.65,3317.77,3364.55,2286098
2023-01-06,3373.53,3376.31,3362.78,3386.11,5711950
2023-01-09,3396.18,3424.19,3386.47,3389.86,4289531
2023-01-10,3431.76,3449.16,3374.84,3499.83,5362703
2023-01-11,3504.26,3505.16,3461.64,3506.2,6816011
2023-01-12,3497.37,3507.46,3476.52,3480.0,4323045
2023-01-13,3465.12,3485.06,3433.89,3437.32,7129183
2023-01-16,3424.11,3427.14,3412.05,3481.64,6966743
2023-01-17,3494.28,3501.77,3488.63,3492.12,7915293
2023-01-18,3480.97,3497.15,3455.16,3458.61,6557018
2023-01-19,3469.71,3511.68,3458.31,3461.77,4241765
2023-01-20,3464.81,3466.22,3455.27,3458.72,5705724
2023-01-23,3487.37,3498.71,3472.5,3516.37,5595570
2023-01-24,3530.13,3539.9,3522.4,3525.92,4626539
2023-01-25,3530.58,3538.39,3522.81,3553.34,6249769
2023-01-26,3572.49,3574.44,3539.78,3556.3,5066093
2023-01-27,3528.88,3563.18,3525.36,3548.78,7048289
2023-01-30,3539.38,3553.61,3536.66,3540.2,3841711
2023-01-31,3564.96,3574.33,3547.51,3551.06,6769982
2023-02-01,3566.75,3569.18,3561.08,3587.79,8433185
2023-02-02,3561.22,3580.72,3538.5,3561.3,4628179
2023-02-03,3554.89,3555.15,3526.67,3607.18,2308784
2023-02-06,3615.36,3623.62,3585.72,3626.69,2664573
2023-02-07,3627.29,3663.42,3615.58,3619.19,4323508
2023-02-08,3623.66,3643.26,3622.19,3625.81,5946313
2023-02-09,3652.69,3724.08,3650.36,3694.09,2329061
2023-02-10,3717.41,3737.61,3704.82,3782.91,4618285
2023-02-13,3775.63,3788.2,3747.53,3830.77,3416015
2023-02-14,3813.87,3838.16,3793.6,3797.39,2978006
2023-02-15,3787.73,3788.58,3756.42,3760.18,8166944
2023-02-16,3746.58,3755.06,3736.95,3740.69,5932020
2023-02-17,3755.59,3763.63,3723.08,3823.72,4856988
2023-02-20,3851.51,3912.05,3846.24,3956.12,4470103
2023-02-21,3952.37,3960.55,3936.91,3940.85,4493277
2023-02-22,3930.46,3964.27,3917.78,3945.43,6212856
2023-02-23,3941.05,3962.41,3924.43,3942.33,3411182
2023-02-24,3934.05,3948.26,3875.54,3879.42,4730570
2023-02-27,3907.54,3910.87,3886.93,3914.17,3998999
2023-02-28,3877.31,3882.89,3856.26,3860.12,4251519
2023-03-01,3888.41,3953.87,3882.5,3886.38,3234160
2023-03-02,3894.03,3942.63,3887.28,3891.17,6005074
2023-03-03,3907.28,3950.65,3902.45,3933.13,4890339
2023-03-06,3920.07,3947.95,3909.0,3912.91,1925788
2023-03-07,3933.63,3950.61,3931.21,3935.14,4206502
2023-03-08,3917.36,3929.19,3859.22,3878.17,4533593
2023-03-09,3888.1,3889.19,3866.47,3962.7,6587255
2023-03-10,3970.54,3970.87,3943.28,4012.86,7519621
2023-03-13,4018.62,4072.56,3975.71,3979.68,6282802
2023-03-14,3984.1,4020.74,3983.67,3987.65,4679610
2023-03-15,3961.99,3993.29,3935.02,4011.59,5544506
2023-03-16,3982.59,3992.58,3948.44,4049.38,4124416
2023-03-17,4030.92,4031.76,4012.85,4115.86,3897783
2023-03-20,4091.67,4153.33,4090.79,4094.88,2856643
2023-03-21,4115.33,4134.55,4114.52,4195.17,5993804
2023-03-22,4180.67,4211.08,4156.73,4205.13,5254621
2023-03-23,4190.17,4208.01,4168.02,4185.45,7170416
2023-03-24,4173.83,4219.79,4143.08,4233.18,5382096
2023-03-27,4230.89,4245.97,4216.52,4220.74,5458498
2023-03-28,4207.77,4234.21,4189.0,4193.18,4926755
2023-03-29,4197.33,4305.7,4173.6,4177.78,7257593
2023-03-30,4158.82,4163.56,4115.3,4119.42,5590962
2023-03-31,4105.54,4120.04,4082.46,4086.54,9082868
2023-04-03,4101.03,4132.66,4086.91,4091.0,5592436
2023-04-04,4109.43,4133.98,4081.66,4151.19,7778060
2023-04-05,4143.9,4175.74,4133.41,4228.43,2257391
