Date,Open,High,Low,Close,Volume
2023-01-02,251.22,253.99,248.99,249.24,5224045
2023-01-03,250.33,250.36,239.88,252.06,8318796
2023-01-04,250.97,254.63,249.1,254.23,6789102
2023-01-05,250.39,254.06,247.44,249.1,5508030
2023-01-06,252.17,256.57,246.41,260.57,4902967
2023-01-09,260.8,261.18,260.02,273.36,4874423
2023-01-10,269.69,271.81,268.73,283.08,5904642
2023-01-11,280.2,294.12,278.71,294.63,4772428
2023-01-12,296.52,301.49,289.29,309.21,6308295
2023-01-13,308.04,311.56,305.99,319.69,4665918
2023-01-16,323.77,333.18,317.84,318.16,4789437
2023-01-17,319.33,322.68,310.7,324.91,5059170
2023-01-18,319.31,327.71,317.52,317.83,6518956
2023-01-19,317.23,337.81,302.59,315.09,4840494
2023-01-20,318.85,329.71,308.4,308.71,4066947
2023-01-23,310.87,313.96,304.22,304.53,1525784
2023-01-24,307.66,312.76,295.24,309.6,6189763
2023-01-25,309.15,311.98,308.16,308.47,2977929
2023-01-26,305.82,309.01,303.86,308.03,3507277
2023-01-27,307.36,320.74,306.26,325.08,2788801
2023-01-30,322.8,324.92,314.71,317.17,3961624
2023-01-31,309.68,310.32,297.03,313.27,4966581
2023-02-01,314.48,314.55,309.36,324.99,5338642
2023-02-02,325.06,331.4,316.59,333.87,4170618
2023-02-03,337.88,341.24,332.59,332.93,2343397
2023-02-06,334.81,347.07,326.58,326.91,4870895
2023-02-07,326.32,328.45,319.52,319.84,5696554
2023-02-08,317.72,319.73,312.1,320.18,6954917
2023-02-09,322.44,325.1,320.78,321.1,5011820
2023-02-10,319.84,320.89,318.49,318.81,3476181
2023-02-13,313.49,323.53,305.86,315.65,3660818
2023-02-14,317.6,317.82,305.09,326.07,6216197
2023-02-15,322.19,324.89,316.67,323.61,3103252
2023-02-16,316.64,319.07,315.86,316.17,3223954
2023-02-17,314.66,316.35,314.37,317.11,3994827
2023-02-20,321.57,329.14,318.43,336.93,5721362
2023-02-21,336.11,339.67,329.15,329.48,3544813
2023-02-22,327.91,336.02,325.42,325.74,4534538
2023-02-23,323.34,327.93,317.01,317.33,7413171
2023-02-24,320.48,327.47,317.51,318.72,2850272
2023-02-27,316.71,319.84,308.5,308.81,4451741
2023-02-28,308.25,316.86,304.61,304.91,4706914
2023-03-01,303.26,308.04,303.21,303.52,4442213
2023-03-02,300.86,302.79,290.91,302.7,6494177
2023-03-03,297.65,298.59,291.12,291.41,3890942
2023-03-06,295.57,301.19,294.14,294.43,4705579
2023-03-07,295.5,296.54,284.6,285.12,4903883
2023-03-08,286.96,299.56,286.03,288.74,6274417
2023-03-09,291.14,294.54,286.49,286.77,4410420
2023-03-10,290.22,298.31,286.09,295.35,5569459
2023-03-13,293.38,294.14,283.58,283.87,7422168
2023-03-14,282.77,290.27,274.81,289.54,3894844
2023-03-15,284.62,285.87,278.87,279.15,2751476
2023-03-16,278.85,279.33,275.79,289.58,4910877
2023-03-17,296.02,297.35,293.97,294.27,4606010
2023-03-20,293.08,298.71,290.37,290.66,5258381
2023-03-21,293.0,301.96,287.8,302.07,5090128
2023-03-22,303.47,311.06,295.38,299.38,3841146
2023-03-23,300.75,308.14,297.15,297.45,4381668
2023-03-24,300.71,303.95,298.14,298.43,3081453
2023-03-27,300.28,305.29,287.16,307.28,4129027
2023-03-28,305.03,305.6,303.57,318.81,5279624
2023-03-29,316.01,327.96,315.7,325.89,4087660
2023-03-30,327.31,329.34,314.94,353.85,6935966
2023-03-31,352.17,359.93,349.72,353.56,5533503
2023-04-03,354.38,357.96,344.12,362.61,3425516
2023-04-04,368.54,380.63,345.3,352.16,5364323
2023-04-05,343.36,347.16,339.59,369.95,3838077
2023-04-06,362.45,365.87,348.13,373.52,1902375
2023-04-07,373.65,389.17,371.25,398.4,5540971
2023-04-10,394.27,394.51,394.13,401.92,2949712
2023-04-11,404.78,426.67,399.68,400.08,5949990
2023-04-12,400.19,411.44,392.3,403.57,4881398
2023-04-13,400.76,404.62,395.18,395.58,4867863
2023-04-14,405.88,417.43,390.85,418.8,3982035
2023-04-17,417.2,423.72,415.04,444.09,6203192
2023-04-18,448.68,461.39,438.35,438.79,3785928
2023-04-19,443.83,448.42,441.86,443.65,3966671
2023-04-20,444.74,451.56,430.37,450.3,6398652
2023-04-21,448.05,454.33,422.83,446.41,5589960
2023-04-24,442.46,444.06,438.38,446.12,3470457
2023-04-25,447.23,460.31,443.22,464.66,4644482
2023-04-26,468.84,471.46,459.93,475.05,3512455
2023-04-27,471.44,473.23,468.64,469.11,6580978
2023-04-28,472.33,478.99,457.8,469.83,4331084
2023-05-01,470.47,473.88,451.58,463.39,4541571
2023-05-02,466.92,473.44,451.24,451.69,6966751
2023-05-03,450.48,458.22,449.76,471.23,4418957
2023-05-04,465.02,478.23,463.97,469.38,6852127
2023-05-05,463.56,469.08,458.09,461.34,5108418
2023-05-08,453.04,460.1,440.8,469.32,4906040
2023-05-09,470.69,473.46,457.92,467.16,5347763
2023-05-10,473.58,480.94,458.82,459.28,7444463
2023-05-11,457.22,459.44,439.94,449.13,3440290
2023-05-12,445.86,447.08,437.32,449.78,5461514
2023-05-15,443.87,451.69,427.9,431.04,7484312
2023-05-16,429.78,429.8,420.58,451.86,4833781
2023-05-17,449.76,450.26,446.72,466.02,5006344
2023-05-18,469.48,484.86,465.9,475.57,2721633
2023-05-19,460.55,464.13,459.68,460.14,5365295
2023-05-22,459.8,470.18,459.01,459.47,6485249
2023-05-23,458.27,463.1,453.9,454.35,5126252
2023-05-24,454.42,458.78,451.98,452.43,4350839
2023-05-25,456.74,459.46,454.49,474.99,3932040
2023-05-26,466.2,467.7,461.68,462.15,4736932
2023-05-29,464.87,464.96,462.02,498.82,4485681
2023-05-30,500.49,505.59,492.02,492.51,4281862
2023-05-31,494.63,517.87,487.55,488.04,4905315
2023-06-01,490.36,492.94,477.76,478.24,1419605
2023-06-02,475.4,485.83,460.51,460.97,5856769
2023-06-05,462.32,472.4,453.21,453.66,5165802
2023-06-06,450.25,454.7,424.54,435.04,3310919
2023-06-07,433.7,438.37,426.78,427.21,5068237
2023-06-08,430.07,446.04,425.93,435.87,2294205
2023-06-09,423.36,430.51,423.31,443.53,2939895
2023-06-12,446.29,462.98,442.55,451.45,5012834
2023-06-13,442.94,454.95,437.53,452.1,2655448
2023-06-14,445.71,458.5,442.61,471.84,4882654
2023-06-15,461.41,469.64,455.97,474.53,5037816
2023-06-16,465.75,467.28,445.29,475.16,4913723
2023-06-19,481.3,483.32,479.28,479.76,5350772
2023-06-20,485.72,493.84,471.88,484.18,3668345
2023-06-21,489.98,492.79,482.53,484.5,4910260
2023-06-22,487.37,490.21,467.92,468.39,6394114
2023-06-23,467.65,472.55,454.94,455.4,1967302
2023-06-26,454.84,460.29,446.05,453.83,5545955
2023-06-27,465.23,479.3,454.44,483.57,3831360
2023-06-28,484.75,489.19,482.95,514.25,5908409
2023-06-29,517.39,521.85,502.04,513.34,6809912
2023-06-30,503.93,514.56,502.66,503.16,3811214
2023-07-03,500.6,514.28,490.85,514.94,3038945
2023-07-04,505.06,511.43,497.67,501.34,4303128
2023-07-05,501.61,519.12,496.64,509.55,4386037
2023-07-06,515.7,527.33,504.07,519.15,4495171
2023-07-07,519.02,520.14,506.35,506.86,3856221
2023-07-10,513.16,519.28,503.92,548.3,4397307
2023-07-11,552.79,565.54,544.44,557.47,5709557
2023-07-12,553.15,571.53,547.59,548.13,4523974
2023-07-13,554.33,556.45,532.73,577.33,4019152
2023-07-14,577.52,578.07,559.25,559.81,4158858
2023-07-17,546.13,546.65,543.41,543.95,5606319
2023-07-18,548.62,551.11,545.07,561.88,6020330
2023-07-19,563.95,573.25,560.83,591.2,4105056
2023-07-20,606.08,612.45,605.69,606.3,5334906
2023-07-21,593.62,600.1,580.65,597.13,6491671
2023-07-24,601.76,630.3,577.18,609.17,3835251
2023-07-25,610.32,612.47,602.18,615.45,4088791
2023-07-26,612.47,620.87,594.92,616.35,5877949
2023-07-27,620.15,630.32,616.13,616.75,6259495
2023-07-28,606.7,617.63,595.0,633.21,6414182
2023-07-31,636.92,650.57,625.72,646.12,4812238
2023-08-01,652.68,654.19,647.66,667.13,6314253
2023-08-02,661.78,662.59,647.77,648.42,5300689
2023-08-03,653.16,656.58,627.69,644.32,1672478
2023-08-04,654.91,669.13,638.46,680.01,3649114
2023-08-07,670.77,675.47,659.44,673.85,4275758
2023-08-08,659.45,688.87,656.46,657.12,4170365
2023-08-09,662.61,678.16,658.99,659.65,5750214
2023-08-10,648.91,651.81,641.75,666.89,2094870
2023-08-11,660.8,672.41,659.48,673.84,7245065
2023-08-14,669.83,676.5,654.43,678.12,6901477
2023-08-15,680.47,696.21,662.32,662.98,5993077
2023-08-16,672.44,697.31,661.1,704.05,4129975
2023-08-17,694.28,706.09,688.48,697.62,5581057
2023-08-18,700.32,718.3,682.18,715.92,6268704
2023-08-21,720.33,726.98,709.43,710.14,6580837
2023-08-22,699.96,703.96,688.13,715.81,4949112
2023-08-23,702.11,708.02,693.99,727.21,5001988
2023-08-24,730.66,744.65,722.05,722.77,6285053
2023-08-25,737.32,749.19,721.44,722.16,3208715
2023-08-28,713.85,733.16,691.24,726.0,4678898
2023-08-29,729.3,739.37,725.43,748.86,4895701
2023-08-30,738.19,753.81,729.49,730.22,4733123
2023-08-31,722.22,728.25,717.25,732.65,3653254
2023-09-01,728.36,744.01,721.13,789.18,6770192
2023-09-04,800.02,822.22,787.79,798.72,4173527
2023-09-05,800.33,815.46,792.31,793.1,6113688
2023-09-06,787.03,790.45,782.26,783.04,6149364
2023-09-07,773.27,803.35,745.1,755.17,5555317
2023-09-08,760.46,761.99,759.59,773.33,4653395
2023-09-11,786.26,799.46,772.54,773.31,4880917
2023-09-12,770.52,786.02,764.97,765.73,5983105
